subgraph id = 46
Nreal : 95
=================================
Full list of 95 members:

50	52	47	
52	53	31	
52	53	33	
52	53	47	
55	57	31	
2	26	56	
2	33	56	
4	26	56	
12	19	34	
12	19	47	
12	19	50	
12	19	52	
12	19	53	
12	19	55	
12	19	56	
12	19	59	
12	20	47	
12	20	50	
12	20	52	
12	20	53	
12	20	55	
12	20	56	
12	20	59	
12	26	56	
19	20	33	
19	20	47	
19	20	50	
19	20	51	
19	20	52	
19	20	53	
19	20	55	
19	20	56	
19	20	58	
19	20	59	
19	26	56	
19	35	50	
19	35	51	
19	35	56	
19	35	58	
20	26	56	
20	34	50	
20	34	51	
20	34	56	
20	34	58	
20	35	50	
20	35	51	
20	35	56	
20	35	58	
24	26	56	
24	32	49	
24	32	50	
24	32	51	
24	32	56	
25	26	56	
25	32	49	
25	32	50	
25	32	51	
25	32	56	
25	33	49	
25	33	56	
25	35	49	
25	35	50	
25	35	51	
25	35	56	
26	32	56	
26	33	56	
26	34	56	
26	35	56	
26	49	56	
26	50	56	
32	33	49	
32	33	56	
32	35	49	
32	35	50	
32	35	51	
32	35	56	
32	35	58	
33	34	49	
33	34	56	
33	35	49	
33	35	56	
33	50	56	
34	35	49	
34	35	50	
34	35	51	
34	35	56	
34	35	58	
50	52	55	
50	52	56	
50	52	57	
50	52	58	
52	53	55	
52	53	56	
52	53	57	
52	53	58	

